Update Content,Update Type,View Count,Update Time
File.match? has an issue with paths,kind:bug,15353,"Jan 17, 2025"
<code>Enumerable#sum(&amp;)</code> fails with certain block arguments,topic:compiler:cli,15352,"Jan 17, 2025"
C lib constants and Enum members currently don't allow leading underscores,status:discussion,15342,"Jan 14, 2025"
"Please write on the ""Release"" downloadable files what operating systems they are ment for",topic:stdlib:networking,15338,"Jan 12, 2025"
Add parameter and return type restrictions to all stdlib public methods,kind:feature,15334,"Jan 9, 2025"
Implement RFC 0002: ExecutionContext [EPIC],topic:multithreading,15322,"Jan 6, 2025"
Codegen bug with duplicate ivar declaration and inheriting from generic instance type,tough-cookie,15321,"Jan 6, 2025"
"Unhelpful error message (<code>Error: unexpected token: ""(""</code>) when defining method that starts with a capital letter.",kind:bug,15320,"Jan 3, 2025"
Expose method to process HTTP requests on HTTP::Server,topic:compiler:codegen,15319,"Jan 3, 2025"
splatting into variadic C function yields a BUG,status:discussion,15317,"Jan 1, 2025"
Better handling of extra PCRE2 regex options,kind:bug,15316,"Dec 29, 2024"
LLVM version in <code>compiler --version</code> may be inaccurate,topic:compiler:semantic,15315,"Dec 26, 2024"
format the split to multi-line string error when starts with a #{...},kind:bug,15262,"Dec 10, 2024"
Formatting BigDecimal loses precision,topic:tools:formatter,15261,"Dec 10, 2024"
Proper handling of special characters in HTTP Cookies,kind:bug,15259,"Dec 9, 2024"
Module validation failed: inlinable function call in a function with debug info must have a !dbg location,topic:tools:formatter,15251,"Dec 6, 2024"
long-running fiber performance loss since 1.14.0,status:discussion,15242,"Dec 3, 2024"
[formatter] Index out of bounds (IndexError) When run formatter,topic:stdlib:networking,15237,"Nov 29, 2024"
Making <code>LLVM::ABI</code> a private API,breaking-change,15227,"Nov 25, 2024"
Replace <code>Iterator#slice</code> and <code>Iterator#each_slice</code> with <code>Iterator#in_slices_of</code>,status:discussion,15223,"Nov 24, 2024"
UNIXSocket.new should accept <code>Path</code> in addition to <code>String</code>,status:someday,15218,"Nov 23, 2024"
Handle 0X in String to integer conversions,topic:stdlib:collection,15214,"Nov 22, 2024"
Disallow type declarations for local variables in scopes where it's impossible to call them,kind:bug,15203,"Nov 18, 2024"
Bug: Formatter removes newline inside parentheses for generic type arguments,topic:tools:formatter,15202,"Nov 16, 2024"
Should ECR provide support for escaping rendered output?,platform:darwin,15130,"Oct 26, 2024"
<code>ThreadLocalValue</code> is not fiber-aware,topic:infrastructure/ci,15129,"Oct 25, 2024"
Better handling of Hash with default block but of the wrong type,kind:bug,15120,"Oct 23, 2024"
"Add a ""prefill"" method to IO::Buffered with read buffering",topic:stdlib:networking,15112,"Oct 21, 2024"
"Compilation error when using generic inheritance, class variable and union",kind:bug,15088,"Oct 16, 2024"
Formatting a call on an instance variable directly within short block syntax,topic:compiler:semantic,15085,"Oct 15, 2024"
Add OSSF Scorecard GH Action and badge to README,topic:lang:type-system,15078,"Oct 11, 2024"
Thread-safety for union types,kind:bug,15075,"Oct 11, 2024"
Linker on macOS prints excessive warnings in CI,topic:tools:formatter,15063,"Oct 7, 2024"
Buffered <code>Socket#close</code> may not return if TCP send buffer is full,kind:bug,15062,"Oct 4, 2024"
Allow method overloads for <code>enum</code> members,status:discussion,15057,"Oct 3, 2024"
Stack size of non-main threads on POSIX,topic:multithreading,15045,"Sep 27, 2024"
<code>bin\crystal run</code> wrapper does not terminate if interrupts are ignored,kind:bug,14985,"Sep 6, 2024"
Nil assertion failed (NilAssertionError),kind:bug,14984,"Sep 6, 2024"
Error: can't restrict Array(A | B) to Array(A | B),status:discussion,14983,"Sep 6, 2024"
Store annotations within the node they annotate,topic:infrastructure/ci,14967,"Sep 4, 2024"
Crystal compiler error: Element not found (Enumerable::NotFoundError),kind:bug,14960,"Sep 3, 2024"
Loading debug symbols is not thread-safe on Windows,topic:compiler:interpreter,14954,"Sep 1, 2024"
Truncated quotient and remainder,topic:lang:type-system,14952,"Aug 30, 2024"
Setting instance variable of file-private type in def parameter breaks with restriction augmenter,kind:bug,14948,"Aug 27, 2024"
Crystal Compiler error: Module validation failed: GEP base pointer is not a vector or a vector of pointers,platform:windows,14942,"Aug 24, 2024"
Inverse of <code>Int#digits</code>,topic:infrastructure,14939,"Aug 23, 2024"
Reduce CI usage,topic:stdlib:system,14935,"Aug 23, 2024"
<code>Object#crystal_type_id</code> returns different value for virtual type in interpreter,kind:feature,14913,"Aug 15, 2024"
A [no overflow check] compiler direective,kind:bug,14851,"Jul 30, 2024"
Proposal: <code>IO::DupReader</code>,topic:stdlib:concurrency,14850,"Jul 30, 2024"
Support  double splatting on NamedTuple union.,kind:bug,14839,"Jul 29, 2024"
<code>Digest</code> should be an <code>IO</code>,topic:stdlib:networking,14832,"Jul 25, 2024"
Third-party library repositories on Windows CI,kind:feature,14828,"Jul 22, 2024"
<code>WebSocket.on_close</code> never triggerred,status:discussion,14827,"Jul 22, 2024"
Fully qualified name must be used inside a block when assigning to an ivar.,topic:stdlib:system,14811,"Jul 14, 2024"
Iterate slice by reference (not by value),kind:bug,14802,"Jul 9, 2024"
[RFC] Allow setting timeouts on <code>HTTP::Server::Response</code>,kind:regression,14800,"Jul 8, 2024"
Option to launch processes as children,topic:compiler:interpreter,14799,"Jul 8, 2024"
LLVM 18 breaks 128-bit integers in the interpreter,topic:compiler:semantic,14793,"Jul 7, 2024"
<code>#resume</code> triggers invalid memory access on Mac,kind:feature,14792,"Jul 7, 2024"
Add <code>crystal tool method_types</code> for listing method parameter types,kind:feature,14741,"Jun 21, 2024"
Cache compiler results for tools,topic:stdlib:macros,14738,"Jun 21, 2024"
Crystal::Macros::Arg#restriction method always returns Nop,kind:feature,14731,"Jun 19, 2024"
Internal error when using <code>sizeof</code> as generic type argument in inferred ivar type,topic:stdlib,14727,"Jun 18, 2024"
<code>close_on_exec</code> on Windows,kind:bug,14717,"Jun 15, 2024"
