Update Content,Update Type,View Count,Update Time
File.match? has an issue with paths,kind:bug,15353,2025-01-17
<code>Enumerable#sum(&amp;)</code> fails with certain block arguments,topic:compiler:cli,15352,2025-01-17
C lib constants and Enum members currently don't allow leading underscores,status:discussion,15342,2025-01-14
"Please write on the ""Release"" downloadable files what operating systems they are ment for",topic:stdlib:networking,15338,2025-01-12
Add parameter and return type restrictions to all stdlib public methods,kind:feature,15334,2025-01-09
Implement RFC 0002: ExecutionContext [EPIC],topic:multithreading,15322,2025-01-06
Codegen bug with duplicate ivar declaration and inheriting from generic instance type,tough-cookie,15321,2025-01-06
"Unhelpful error message (<code>Error: unexpected token: ""(""</code>) when defining method that starts with a capital letter.",kind:bug,15320,2025-01-03
Expose method to process HTTP requests on HTTP::Server,topic:compiler:codegen,15319,2025-01-03
splatting into variadic C function yields a BUG,status:discussion,15317,2025-01-01
Better handling of extra PCRE2 regex options,kind:bug,15316,2024-12-29
LLVM version in <code>compiler --version</code> may be inaccurate,topic:compiler:semantic,15315,2024-12-26
format the split to multi-line string error when starts with a #{...},kind:bug,15262,2024-12-10
Formatting BigDecimal loses precision,topic:tools:formatter,15261,2024-12-10
Proper handling of special characters in HTTP Cookies,kind:bug,15259,2024-12-09
Module validation failed: inlinable function call in a function with debug info must have a !dbg location,topic:tools:formatter,15251,2024-12-06
long-running fiber performance loss since 1.14.0,status:discussion,15242,2024-12-03
[formatter] Index out of bounds (IndexError) When run formatter,topic:stdlib:networking,15237,2024-11-29
Making <code>LLVM::ABI</code> a private API,breaking-change,15227,2024-11-25
Replace <code>Iterator#slice</code> and <code>Iterator#each_slice</code> with <code>Iterator#in_slices_of</code>,status:discussion,15223,2024-11-24
UNIXSocket.new should accept <code>Path</code> in addition to <code>String</code>,status:someday,15218,2024-11-23
Handle 0X in String to integer conversions,topic:stdlib:collection,15214,2024-11-22
Disallow type declarations for local variables in scopes where it's impossible to call them,kind:bug,15203,2024-11-18
Bug: Formatter removes newline inside parentheses for generic type arguments,topic:tools:formatter,15202,2024-11-16
Should ECR provide support for escaping rendered output?,platform:darwin,15130,2024-10-26
<code>ThreadLocalValue</code> is not fiber-aware,topic:infrastructure/ci,15129,2024-10-25
Better handling of Hash with default block but of the wrong type,kind:bug,15120,2024-10-23
"Add a ""prefill"" method to IO::Buffered with read buffering",topic:stdlib:networking,15112,2024-10-21
"Compilation error when using generic inheritance, class variable and union",kind:bug,15088,2024-10-16
Formatting a call on an instance variable directly within short block syntax,topic:compiler:semantic,15085,2024-10-15
Add OSSF Scorecard GH Action and badge to README,topic:lang:type-system,15078,2024-10-11
Thread-safety for union types,kind:bug,15075,2024-10-11
Linker on macOS prints excessive warnings in CI,topic:tools:formatter,15063,2024-10-07
Buffered <code>Socket#close</code> may not return if TCP send buffer is full,kind:bug,15062,2024-10-04
Allow method overloads for <code>enum</code> members,status:discussion,15057,2024-10-03
Stack size of non-main threads on POSIX,topic:multithreading,15045,2024-09-27
<code>bin\crystal run</code> wrapper does not terminate if interrupts are ignored,kind:bug,14985,2024-09-06
Nil assertion failed (NilAssertionError),kind:bug,14984,2024-09-06
Error: can't restrict Array(A | B) to Array(A | B),status:discussion,14983,2024-09-06
Store annotations within the node they annotate,topic:infrastructure/ci,14967,2024-09-04
Crystal compiler error: Element not found (Enumerable::NotFoundError),kind:bug,14960,2024-09-03
Loading debug symbols is not thread-safe on Windows,topic:compiler:interpreter,14954,2024-09-01
Truncated quotient and remainder,topic:lang:type-system,14952,2024-08-30
Setting instance variable of file-private type in def parameter breaks with restriction augmenter,kind:bug,14948,2024-08-27
Crystal Compiler error: Module validation failed: GEP base pointer is not a vector or a vector of pointers,platform:windows,14942,2024-08-24
Inverse of <code>Int#digits</code>,topic:infrastructure,14939,2024-08-23
Reduce CI usage,topic:stdlib:system,14935,2024-08-23
<code>Object#crystal_type_id</code> returns different value for virtual type in interpreter,kind:feature,14913,2024-08-15
A [no overflow check] compiler direective,kind:bug,14851,2024-07-30
Proposal: <code>IO::DupReader</code>,topic:stdlib:concurrency,14850,2024-07-30
Support  double splatting on NamedTuple union.,kind:bug,14839,2024-07-29
<code>Digest</code> should be an <code>IO</code>,topic:stdlib:networking,14832,2024-07-25
Third-party library repositories on Windows CI,kind:feature,14828,2024-07-22
<code>WebSocket.on_close</code> never triggerred,status:discussion,14827,2024-07-22
